name                           | color  | lambda (anonymous function)       | notes                                                            | | | | | | | | | | | github order number| xl order number
Flix                           | #d44a45| yes                               |                                                                  | | | | | | | | | | |                 138|                
Fluent                         | #ffcc33| no                                |                                                                  | | | | | | | | | | |                 139|                
Forth                          | #341708| no                                |                                                                  | | | | | | | | | | |                 140|                
Fortran                        | #4d41b1| no                                |                                                                  | | | | | | | | | | |                 141|                
Fortran Free Form              | #4d41b1| no                                |                                                                  | | | | | | | | | | |                 142|                
FreeBASIC                      | #141AC9| no                                |                                                                  | | | | | | | | | | |                 143|                
FreeMarker                     | #0050b2| yes                               |                                                                  | | | | | | | | | | |                 144|                
Frege                          | #00cafe| yes                               |                                                                  | | | | | | | | | | |                 145|                
Futhark                        | #5f021f| yes                               |                                                                  | | | | | | | | | | |                 146|                
G-code                         | #D08CF2| no                                |                                                                  | | | | | | | | | | |                 147|                
GAML                           | #FFC766| no                                |                                                                  | | | | | | | | | | |                 148|                
GAMS                           | #f49a22| no                                |                                                                  | | | | | | | | | | |                 149|                
GAP                            | #0000cc| yes                               |                                                                  | | | | | | | | | | |                 150|                
GCC Machine Description        | #FFCFAB| no                                |                                                                  | | | | | | | | | | |                 151|                
GDShader                       | #478CBF| no, shader                        |                                                                  | | | | | | | | | | |                 153|                
GLSL                           | #5686a5| no, shader                        |                                                                  | | | | | | | | | | |                 154|                
GSC                            | #FF6800| no                                |                                                                  | | | | | | | | | | |                 155|                
Game Maker Language            | #71b417| yes                               |                                                                  | | | | | | | | | | |                 156|                
Genero 4gl                     | #63408e| no                                |                                                                  | | | | | | | | | | |                 157|                
Genie                          | #fb855d| yes                               |                                                                  | | | | | | | | | | |                 158|                
Genshi                         | #951531| no                                |                                                                  | | | | | | | | | | |                 159|                
Gentoo Ebuild                  | #9400ff| no                                |                                                                  | | | | | | | | | | |                 160|                
Gentoo Eclass                  | #9400ff| no                                |                                                                  | | | | | | | | | | |                 161|                
Gherkin                        | #5B2063| no                                |                                                                  | | | | | | | | | | |                 162|                
Glimmer JS                     | #F5835F| yes                               |                                                                  | | | | | | | | | | |                 164|                
Glimmer TS                     | #3178c6| yes                               |                                                                  | | | | | | | | | | |                 165|                
Glyph                          | #c1ac7f| no                                |                                                                  | | | | | | | | | | |                 166|                
Gno                            | #226c57| yes                               |                                                                  | | | | | | | | | | |                 167|                
Gnuplot                        | #f0a9f0| no                                |                                                                  | | | | | | | | | | |                 168|                
Golo                           | #88562A| yes                               |                                                                  | | | | | | | | | | |                 170|                
Gosu                           | #82937f| yes                               |                                                                  | | | | | | | | | | |                 171|                
Grace                          | #615f8b| yes                               |                                                                  | | | | | | | | | | |                 172|                
Grammatical Framework          | #ff0000| yes                               |                                                                  | | | | | | | | | | |                 173|                
Groovy Server Pages            | #4298b8| no                                |                                                                  | | | | | | | | | | |                 175|                
HCL                            | #844FBA| no                                |                                                                  | | | | | | | | | | |                 176|                
